PF00698	59,176,209
PF02133	84,195,218
PF02909	151,203,75
PF13732	100,223,143
PF01261	69,222,207
PF00581	145,191,76
PF02743	84,194,113
PF00211	195,180,69
PF13469	59,182,84
PF03417	101,81,194
PF03712	55,100,186
PF13401	174,224,73
PF01048	75,186,148
PF11196	164,58,192
PF14518	71,185,105
PF00043	102,108,211
PF11710	182,162,50
PF02104	74,198,177
PF06441	91,189,116
PF11970	128,76,188
PF13520	180,217,107
PF13472	116,68,184
PF02171	229,192,72
PF08892	58,210,225
PF08699	203,81,166
PF09347	190,52,203
PF01399	104,218,74
PF01058	112,224,109
PF00346	130,223,85
PF00491	126,224,107
PF01593	184,74,52
PF07730	190,53,146
PF00398	71,217,122
PF01047	60,185,86
PF09277	69,149,215
PF05139	64,208,71
PF03664	191,57,139
PF00903	50,162,189
PF13577	68,223,209
PF00264	87,199,223
PF12013	194,81,97
PF04909	95,225,123
PF07721	194,104,82
PF00183	214,64,55
PF13589	220,68,225
PF13483	89,224,69
PF01636	106,220,228
PF00153	159,187,84
PF08390	196,80,119
PF04095	193,72,95
PF03798	190,73,90
PF03835	192,56,184
PF04193	174,105,218
PF00465	73,179,216
PF13639	80,185,67
PF14344	222,95,149
PF02447	199,95,202
PF09339	135,102,222
PF08281	222,103,144
PF02607	190,55,206
PF00701	80,204,82
PF04203	213,184,62
PF00970	212,194,103
PF01614	58,93,180
PF00111	60,59,191
PF02311	81,203,213
PF13419	60,223,188
PF01810	198,75,167
PF01761	150,62,180
PF13354	72,61,190
PF01025	75,190,103
PF13108	66,198,72
PF01734	200,132,98
PF00012	60,173,201
PF13432	154,205,86
PF06262	154,72,215
PF07719	67,152,188
PF12796	151,90,191
PF01425	195,142,64
PF11927	180,76,193
PF13622	136,87,203
PF08100	171,213,91
PF07942	193,58,83
PF16093	53,212,140
PF00733	97,201,176
PF01032	210,177,70
PF05141	213,100,188
PF00122	149,204,70
PF13537	200,63,57
PF00702	68,220,102
PF00403	91,198,182
PF01497	183,226,104
PF09859	78,221,70
PF13532	182,67,194
PF00881	79,118,187
PF01035	79,155,220
PF17203	209,153,67
PF06445	61,183,118
PF07992	83,223,167
PF02870	96,209,110
PF00089	207,127,78
PF01590	86,203,59
PF08030	73,143,203
PF08022	208,115,56
PF04672	125,181,73
PF13245	80,199,91
PF00334	197,210,70
PF12697	113,71,219
PF14042	52,73,192
PF00929	201,87,120
PF02585	97,215,95
PF00303	103,91,191
PF10936	178,85,67
PF13521	64,192,136
PF01564	221,99,146
PF03994	206,93,72
PF09056	79,65,213
PF14408	74,120,212
PF00392	160,85,194
PF03621	212,165,97
PF00293	92,56,187
PF12680	184,69,155
PF10049	94,187,211
PF07366	206,89,111
PF00905	161,226,87
PF03992	193,84,127
PF11716	214,107,221
PF00960	223,193,87
PF08608	74,197,163
PF00596	208,130,90
PF14885	214,92,199
PF12831	132,217,85
PF13530	61,215,182
PF01113	220,76,108
PF11794	122,202,60
PF01323	221,114,99
PF01361	223,210,102
PF01613	107,197,222
PF00221	182,133,62
PF11706	115,70,216
PF08028	106,185,56
PF00246	195,77,191
PF07336	138,187,82
PF01042	93,120,208
PF13527	157,184,47
PF00793	223,103,208
PF05173	70,196,178
PF07977	66,205,188
PF14534	63,159,224
PF03241	73,153,185
PF00294	153,96,212
PF05694	89,133,183
PF00166	88,59,221
PF05685	123,107,219
PF00118	73,204,119
PF03060	100,193,226
PF13493	94,129,195
PF00890	63,199,116
PF09335	145,188,82
PF02733	110,103,210
PF16911	219,98,127
PF00582	129,199,88
PF02702	180,144,84
PF00115	64,128,197
PF02773	192,53,113
PF02772	81,223,98
PF02965	60,212,227
PF00809	192,119,62
PF05221	55,203,152
PF00438	202,217,80
PF02219	209,76,219
PF13563	67,81,196
PF00331	208,228,113
PF13377	101,208,189
PF07691	190,51,112
PF02653	69,130,196
PF13349	173,193,81
PF00703	199,91,180
PF00920	58,79,190
PF07883	211,192,74
PF00356	66,188,63
PF02735	188,110,60
PF07510	220,94,137
PF13305	92,181,192
PF13407	124,182,50
PF13385	93,162,213
PF02836	92,103,201
PF02837	159,68,216
PF02016	187,63,139
PF01609	229,102,99
PF03972	166,220,102
PF15979	103,191,95
PF00391	206,59,219
PF01326	112,180,78
PF11639	212,82,116
PF01522	56,221,58
PF07477	98,222,110
PF17198	119,70,227
PF06094	227,229,113
PF00232	175,56,195
PF01120	165,80,195
PF05592	97,211,89
PF13668	181,64,63
PF11755	146,98,220
PF14689	215,217,87
PF12671	162,213,63
PF03405	201,86,82
PF12770	222,88,225
PF00083	48,186,105
PF00474	49,186,178
PF01263	76,203,227
PF14833	141,199,89
PF03401	74,93,188
PF02784	106,204,212
PF00583	121,183,50
PF08974	62,198,130
PF03737	59,211,194
PF06965	110,202,98
PF10633	97,213,145
PF08531	125,200,86
PF02353	56,174,188
PF03328	81,183,94
PF07488	91,161,195
PF07729	74,75,215
PF02746	63,73,226
PF13977	99,210,174
PF12708	183,50,114
PF00295	106,210,217
PF00754	216,175,69
PF03446	205,164,98
PF02687	126,55,214
PF13796	58,158,187
PF12704	79,76,190
PF11611	71,97,207
PF16859	219,77,198
PF14013	203,70,200
PF00924	177,58,210
PF01545	151,84,211
PF00208	181,160,45
PF02812	157,52,200
PF07077	214,90,215
PF00665	93,64,200
PF01548	59,200,207
PF13610	200,202,77
PF00872	137,187,62
PF00478	225,99,218
PF09995	194,179,92
PF01040	189,57,100
PF13506	174,185,57
PF01341	133,195,71
PF11010	154,192,56
PF12852	152,181,77
PF13692	85,182,142
PF13439	162,57,186
PF01433	173,57,219
PF08501	145,207,53
PF00899	82,50,180
PF07702	170,184,91
PF02525	159,188,70
PF09848	173,201,69
PF13350	96,226,59
PF13936	76,213,183
PF02817	217,136,99
PF09265	67,184,162
PF13231	149,96,194
PF13386	108,180,48
PF04138	72,221,86
PF04794	199,99,88
PF08220	194,214,67
PF01037	134,72,182
PF13404	190,195,86
PF00455	183,143,83
PF01642	67,86,223
PF01551	65,169,193
PF00270	195,100,62
PF00255	92,57,196
PF05175	99,227,110
PF13367	80,56,188
PF00156	210,210,74
PF11907	136,63,182
PF02769	182,125,70
PF13522	129,206,75
PF04408	142,68,179
PF13091	197,187,91
PF11898	111,68,209
PF12102	85,189,218
PF00586	215,196,78
PF02390	186,183,89
PF06422	48,108,186
PF00135	204,82,64
PF01184	191,119,90
PF07732	80,81,179
PF07731	183,55,192
PF11951	102,165,217
PF00394	172,188,74
PF09346	197,180,87
PF00275	217,213,85
PF05977	80,62,217
PF09209	154,82,215
PF13533	229,122,112
PF12698	151,189,55
PF02321	205,57,201
PF13437	82,200,102
PF13416	66,211,58
PF13813	96,197,109
PF04879	186,68,186
PF04191	82,89,182
PF02634	94,203,116
PF04209	180,135,87
PF04324	216,103,169
PF09754	188,194,72
PF13360	98,210,146
PF13538	62,140,196
PF01471	186,74,131
PF13604	127,205,82
PF00590	124,218,92
PF14490	99,171,199
PF13412	222,79,68
PF14520	118,220,87
PF00557	217,177,88
PF02826	192,197,93
PF10282	97,80,193
PF01321	125,184,70
PF00375	141,207,101
PF04560	212,179,66
PF00456	74,202,214
PF04997	76,225,92
PF02470	219,201,73
PF16320	167,204,96
PF10385	199,95,150
PF00542	76,226,185
PF01243	177,193,67
PF11887	211,54,103
PF02405	56,97,187
PF04561	211,228,95
PF00562	52,194,73
PF00466	55,96,202
PF04565	217,183,85
PF06902	86,110,201
PF13564	194,67,108
PF05598	221,202,107
PF13751	51,201,77
PF01176	105,195,79
PF03069	205,187,71
PF13181	182,172,47
PF00578	166,71,190
PF16912	183,80,73
PF02274	194,129,75
PF13515	69,195,150
PF01547	195,119,75
PF13277	95,186,86
PF04199	140,47,181
PF01887	103,77,209
PF00227	195,133,71
PF14200	112,220,73
PF02156	179,136,76
PF14016	149,65,211
PF03583	197,59,135
PF13358	50,81,198
PF13565	89,225,112
PF14696	50,199,116
PF10067	203,168,68
PF13701	187,172,89
PF05523	91,72,180
PF02033	221,90,110
PF00887	150,185,75
PF01139	183,76,169
PF13735	198,59,118
PF01743	216,132,105
PF00150	189,82,188
PF12627	106,197,60
PF01738	188,185,48
PF03171	184,68,180
PF14226	122,206,79
PF06314	80,180,156
PF16884	185,119,52
PF01161	81,205,189
PF01977	124,53,196
PF02441	199,95,88
PF02668	180,79,217
PF03475	90,182,89
PF00656	57,105,184
PF14542	80,197,99
PF03473	96,194,162
PF01344	184,90,139
PF13964	87,121,189
PF07976	227,99,176
PF07733	190,187,47
PF14579	166,180,62
PF09362	109,223,219
PF00393	57,119,210
PF09821	74,193,198
PF06368	94,203,101
PF00278	195,86,191
PF09177	198,56,59
PF02230	165,184,75
PF00956	226,80,140
PF13679	227,117,66
PF16177	54,78,195
PF11991	197,197,93
PF01212	121,182,62
PF00348	61,206,65
PF01791	151,59,198
PF01959	199,181,86
PF00892	105,217,77
PF03829	155,199,68
PF03608	80,156,203
PF07663	229,67,175
PF06271	75,173,207
PF03612	91,191,156
PF04892	81,187,70
PF06923	65,206,55
PF01154	88,216,218
PF08540	49,194,86
PF05147	129,182,79
PF02357	166,222,79
PF01947	200,80,201
PF01554	187,69,173
PF03734	112,183,75
PF04952	143,103,224
PF03349	68,188,211
PF08264	85,52,208
PF00133	209,58,146
PF13669	66,183,136
PF00765	197,72,80
PF03472	99,181,52
PF05729	60,194,110
PF05787	62,203,65
PF01391	95,207,131
PF03255	66,101,203
PF12850	143,76,212
PF00313	87,72,181
PF00370	83,186,105
PF01510	122,192,71
PF00547	222,104,199
PF01979	210,93,184
PF00449	76,190,108
PF02782	204,103,85
PF16901	196,60,59
PF04309	99,123,216
PF03061	143,103,215
PF06224	116,78,194
PF02913	111,69,188
PF14278	192,229,97
PF13188	206,218,73
PF00383	91,149,216
PF01882	190,218,84
PF10693	187,80,112
PF13187	70,123,186
PF04989	218,90,219
PF00977	200,144,79
PF03400	61,68,205
PF01895	88,153,182
PF02910	140,80,199
PF00657	151,210,92
PF01583	48,131,188
PF08211	225,105,128
PF02583	127,204,98
PF00756	217,132,77
PF04673	49,187,78
PF00854	90,189,52
PF04486	75,209,181
PF04075	184,92,208
PF03551	210,176,95
PF02624	76,84,185
PF01983	181,97,82
PF04227	186,184,81
PF13560	207,145,90
PF00176	180,113,64
PF12419	90,67,186
PF17132	195,121,53
PF02426	214,164,56
PF01177	137,211,53
PF02517	150,86,216
PF00215	127,77,227
PF01189	185,52,86
PF01019	117,205,100
PF00625	77,160,185
PF02911	74,115,225
PF01192	146,78,188
PF02787	217,64,78
PF01183	92,155,186
PF04127	185,72,205
PF00551	111,183,66
PF01029	217,59,158
PF05690	215,60,203
PF02142	97,202,71
PF00982	89,138,188
PF05958	187,48,82
PF00361	54,193,132
PF02586	152,181,61
PF00950	190,102,215
PF01297	78,178,130
PF13006	148,213,91
PF00120	195,227,89
PF03764	175,56,200
PF02540	204,109,227
PF03372	76,66,180
PF00679	136,208,97
PF00795	213,76,196
PF03951	125,91,194
PF14492	217,213,86
PF00009	196,118,83
PF17074	225,206,72
PF01740	219,58,116
PF04343	200,173,51
PF07519	139,54,192
PF13723	57,130,212
PF02728	100,62,180
PF09981	98,200,123
PF01179	197,95,110
PF04984	173,209,71
PF09084	196,85,209
PF02423	221,120,93
PF04294	52,93,183
PF12229	140,107,215
PF08445	215,89,80
PF08044	227,119,96
PF04472	49,194,147
PF12643	200,96,198
PF12464	188,228,87
PF04679	220,176,61
PF13625	221,110,182
PF04149	94,195,165
PF14697	63,145,187
PF02898	49,184,163
PF16203	105,50,185
PF01068	164,187,87
PF12710	181,59,119
PF09990	86,187,169
PF00132	89,131,202
PF14602	79,205,115
PF02371	104,204,65
PF02800	160,186,82
PF03816	212,80,62
PF00044	212,98,148
PF13280	186,47,188
PF08279	188,106,60
PF09278	152,80,196
PF12804	52,209,196
PF03741	221,113,97
PF01274	84,70,202
PF12277	181,62,219
PF08386	224,194,107
PF16124	207,93,128
PF01351	76,183,124
PF03747	215,124,105
PF02342	84,103,187
PF01242	179,224,60
PF16291	140,203,94
PF02675	104,90,186
PF03777	97,98,208
PF01861	179,207,90
PF00180	109,54,206
PF00330	180,189,85
PF00682	84,228,141
PF08818	120,214,95
PF00694	63,185,92
PF11251	203,95,181
PF12730	203,161,59
PF07722	203,162,57
PF03070	95,149,219
PF13229	197,72,157
PF11512	126,228,60
PF01661	65,211,62
PF00459	67,210,137
PF08267	102,88,199
PF01012	218,56,91
PF13434	81,213,119
PF01717	163,221,87
PF00766	59,72,212
PF00282	100,218,166
PF15575	115,220,66
PF01507	87,190,105
PF01077	96,208,89
PF03460	51,200,158
PF01374	208,68,106
PF02805	176,85,197
PF03099	228,147,105
PF00805	186,52,164
PF01149	124,229,81
PF06827	167,86,192
PF06831	57,227,194
PF04016	96,86,186
PF01980	51,82,185
PF06966	84,216,56
PF02852	191,148,67
PF00376	185,57,157
PF09998	221,109,58
PF07484	76,212,168
PF06243	158,180,53
PF05138	192,90,143
PF02384	46,179,90
PF07848	208,67,203
PF00722	213,60,152
PF02781	161,208,98
PF00342	160,69,196
PF00479	176,80,200
PF16353	198,111,90
PF02929	180,83,167
PF08223	110,217,80
PF10128	198,163,70
PF03422	79,51,186
PF01883	171,209,57
PF10022	70,181,144
PF01592	109,58,209
PF13365	126,86,188
PF00730	190,78,115
PF10576	203,113,64
PF03055	67,104,178
PF02674	45,82,181
PF07332	60,106,180
PF02450	189,59,71
PF04198	198,52,101
PF05990	52,155,198
PF01337	180,74,147
PF00834	51,162,202
PF04434	76,197,68
PF12862	215,83,158
PF01978	175,92,191
PF13443	210,216,86
PF00553	224,89,220
PF11188	62,193,110
PF03284	179,85,75
PF12172	189,90,191
PF02797	139,212,63
PF00195	60,181,161
PF01796	76,159,198
PF04140	100,223,104
PF01903	93,58,208
PF00689	76,203,161
PF01142	166,221,59
PF13347	68,198,83
PF08392	70,220,135
PF01804	62,133,186
PF08544	95,112,219
PF01070	59,82,204
PF13243	191,58,201
PF00432	218,215,79
PF00288	190,54,91
PF04073	87,163,195
PF13379	139,182,81
PF01315	127,182,88
PF13535	197,156,74
PF03841	95,92,203
PF02738	194,143,89
PF09704	93,145,206
PF09485	177,201,82
PF03450	68,181,100
PF13340	196,73,104
PF09481	224,77,189
PF02685	142,225,61
PF00400	190,108,62
PF03547	178,51,81
PF01799	67,193,124
PF13759	116,189,68
PF08798	196,187,97
PF06527	184,67,171
PF09344	65,71,216
PF13586	94,207,193
PF05621	217,61,196
PF00941	67,160,198
PF00464	215,97,215
PF02618	187,101,52
PF01987	186,55,82
PF01964	195,97,107
PF02557	210,83,131
PF04069	81,218,80
PF02153	90,185,212
PF13667	188,145,47
PF03136	163,91,197
PF01427	224,66,206
PF07521	75,144,204
PF08245	57,133,195
PF12706	62,169,197
PF01820	55,160,179
PF07478	202,54,160
PF01225	64,188,155
PF00685	66,135,208
PF02388	56,203,71
PF02082	73,178,133
PF02875	197,75,168
PF03796	79,89,193
PF03553	115,72,216
PF03806	88,217,101
PF03483	97,63,226
PF01255	129,224,60
PF07969	228,157,101
PF06259	194,151,87
PF01610	227,129,58
PF01244	178,227,92
PF13409	52,193,170
PF08982	65,163,199
PF08348	214,82,179
PF04954	75,222,95
PF08021	58,190,106
PF07715	99,133,214
PF13309	61,217,91
PF00291	180,55,145
PF06276	76,151,221
PF04183	221,104,121
PF13523	106,224,203
PF03301	50,195,197
PF08388	217,86,208
PF07688	100,209,202
PF00078	85,219,135
PF06472	120,179,45
PF13655	220,106,212
PF03567	192,80,119
PF01844	118,184,79
PF10364	162,59,200
PF01118	191,106,221
PF02774	57,188,185
PF11890	91,181,80
PF00971	208,83,149
PF09317	81,182,202
PF14748	212,112,96
PF16576	70,190,92
PF02632	209,203,81
PF02789	216,155,96
PF00883	81,178,163
PF05222	60,217,133
PF10042	102,216,88
PF01262	96,211,180
PF13726	136,93,202
PF01569	133,203,94
PF16897	71,61,188
PF06985	222,108,192
PF00399	203,87,107
PF10528	213,183,73
PF02824	201,81,163
PF05032	184,96,63
PF04750	171,206,94
PF00262	56,221,109
PF01026	91,81,210
PF01663	178,65,158
PF00218	183,89,153
PF00591	73,116,182
PF07994	61,197,70
PF02885	156,69,183
PF00185	215,107,106
PF13203	133,179,46
PF13833	214,55,143
PF09967	202,92,95
PF01936	215,71,199
PF07728	216,227,88
PF02729	223,74,58
PF07467	215,90,200
PF05223	226,116,74
PF01381	105,79,202
PF12679	70,194,214
PF13772	224,105,141
PF13417	220,154,91
PF17189	222,173,92
PF07532	133,184,71
PF02055	90,180,102
PF07995	199,57,124
PF07944	141,69,188
PF09423	190,92,124
PF03435	90,186,91
PF01180	127,188,80
PF02449	225,128,112
PF02633	216,60,128
PF13579	143,60,202
PF08532	190,215,94
PF01411	159,80,191
PF00873	63,191,60
PF00593	171,200,51
PF11575	216,71,91
PF11804	202,194,95
PF03929	68,227,157
PF13359	89,93,205
PF09290	216,81,210
PF07836	87,215,135
PF13613	71,220,91
PF13621	91,167,190
PF02868	184,92,211
PF13534	92,229,73
PF04675	204,57,111
PF14099	194,179,93
PF10009	161,58,189
PF12029	138,216,72
PF00652	109,123,228
PF01447	71,102,203
PF01453	73,203,162
PF00082	193,159,94
PF04307	140,223,68
PF04087	155,211,104
PF01580	89,224,173
PF00006	187,135,93
PF04987	100,98,224
PF00615	87,127,190
PF08244	209,64,201
PF00251	108,183,84
PF08512	187,66,119
PF12757	200,80,81
PF03188	101,152,219
PF02727	97,214,141
PF04884	215,101,170
PF00497	186,76,141
PF03949	222,99,188
PF00390	127,46,186
PF13292	46,179,173
PF01694	210,72,145
PF11452	97,224,134
PF01208	186,206,58
PF00570	91,116,211
PF04464	55,181,67
PF01612	222,60,61
PF00580	91,222,150
PF07238	62,150,178
PF02028	206,109,74
PF03594	92,227,90
PF06189	184,130,52
PF03471	60,114,228
PF08402	70,123,193
PF01136	181,49,59
PF00571	220,56,105
PF14559	182,60,145
PF12392	210,64,129
PF12792	126,95,216
PF00563	204,100,120
PF09605	200,75,172
PF01325	56,220,176
PF02742	217,122,64
PF02361	217,92,216
PF10017	228,226,80
PF10977	95,198,159
PF02637	84,191,125
PF02686	80,186,201
PF02934	66,215,132
PF02739	118,228,108
PF01202	62,197,58
PF13177	188,69,141
PF01258	77,182,70
PF10615	77,184,50
PF14698	107,69,187
PF03767	128,96,194
PF01839	84,217,101
PF05118	110,77,203
PF00775	96,217,213
PF12391	58,217,189
PF03193	89,182,98
PF05373	99,175,213
PF13276	114,195,68
PF05423	64,97,225
PF01527	85,212,107
PF11139	86,70,182
PF12806	208,149,57
PF08237	205,84,227
PF14690	94,212,144
PF13542	203,97,164
PF12418	209,59,129
PF07929	199,73,132
PF07853	190,101,86
PF07508	92,198,102
PF13408	91,199,80
PF13630	74,217,194
PF00239	99,177,201
PF11806	49,154,189
PF07687	218,154,97
PF03308	200,208,71
PF00408	74,205,143
PF02880	67,204,90
PF02878	217,133,102
PF02879	192,221,60
PF03040	188,114,72
PF04488	175,85,208
PF00128	72,189,149
PF13637	62,205,90
PF01152	81,104,192
PF13304	215,121,101
PF10014	201,88,89
PF01678	111,196,62
PF14525	226,106,111
PF14681	62,144,207
PF09365	182,154,60
PF04299	182,45,159
PF00723	185,199,89
PF01654	64,127,201
PF01970	202,54,202
PF04332	64,191,227
PF02322	228,79,211
PF07331	52,188,110
PF13559	81,185,63
PF11992	71,204,114
PF06974	185,95,215
PF01841	208,223,79
PF03007	215,100,175
PF03982	105,76,223
PF07726	225,222,92
PF01968	126,186,91
PF05378	116,89,225
PF02538	221,153,86
PF01073	212,81,225
PF00691	121,200,70
PF01544	65,141,201
PF17131	189,100,83
PF06039	73,180,113
PF02308	193,85,162
PF03150	214,79,187
PF01223	143,220,95
PF14117	85,192,152
PF10982	173,83,214
PF03729	52,179,67
PF04304	89,204,158
PF09537	95,121,220
PF00042	214,76,178
PF03009	196,119,93
PF09924	212,197,83
PF13575	228,84,217
PF10670	89,214,86
PF01028	158,205,101
PF04955	190,188,89
PF01126	227,219,74
PF14410	159,54,210
PF07978	118,80,216
PF09594	110,68,183
PF07364	101,127,217
PF00708	79,219,111
PF02554	153,59,192
PF16694	61,220,181
PF13722	224,155,111
PF04964	90,199,208
PF11946	193,51,57
PF08883	127,73,201
PF04328	114,219,96
PF10129	65,222,148
PF02401	155,62,193
PF07171	192,174,73
PF04389	190,82,105
PF10503	189,202,77
PF06983	64,57,201
PF13186	183,66,65
PF09954	225,99,221
PF08898	64,92,205
PF08896	121,208,70
PF04666	96,204,143
PF03572	178,89,184
PF10143	131,186,83
PF13714	215,91,155
PF01467	110,215,57
PF13420	162,66,181
PF03259	60,73,216
PF03169	199,85,74
PF00113	70,106,194
PF02638	213,157,96
PF02113	222,106,76
